A,B,B+180,Hr,Hr [rad],Theta r,Diff order-wrong,Diff Order,Color ,Brightness,Lambda [nm],,A,B,B+180,Hr,Hr [rad],Theta r,Diff order-wrong,Diff Order,Color ,Brightness,Lambda [nm],,d,m*lambda(He),Hr-graph(He),m*lambda(H),Hr-graph(H),Hr-graph(H) [rad],y=1/lamb,x,n initial,n final,,Regression,,,,,,
337,157.2,337.2,337.1,5.883504908,2.783333,3,-3,green,*,492.19,,,,,,,,,,,,,,,-1476.57,337.1,,,,,,,,,Residual,29,15351.60924,529.3658357,,,
337.5,157.616667,337.616667,337.5583335,5.891504337,3.2,3,-3,green,**,501.57,,,,,,,,,,,,,,,-1504.71,337.5583335,,,,,,,,,Total,31,25716750.36,,,,
337.683333,157.833333,337.833333,337.758333,5.894994987,3.416666,3,-3,green,,504.77,,,,,,,,,,,,,,,-1514.31,337.758333,,,,,,,,,,,,,,,
341.916667,162.0833333,342.0833333,342.0000002,5.969026044,7.6666663,3,-3,yellow,**,587.56,,,,,,,,,,,,,,,-1762.68,342.0000002,,,,,,,,,Confidence level,0.95,,,,,
346.0833333,166.166667,346.166667,346.1250002,6.041020876,11.75,3,-3,red,*,706.52,,,,,,,,,,,,,,,-2119.56,346.1250002,,,,,,,,,,,,,,,
342.366667,162.366667,342.366667,342.366667,5.975425588,7.95,4,-4,burple,*,447.15,,,,,,,,,,,,,,,-1788.6,342.366667,,,,,,,,,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%
344,164.366667,344.366667,344.1833335,6.0071324,9.95,4,-4,blue,,471.31,,,,,,,,,,,,,,,-1885.24,344.1833335,,,,,,,,D0,Intercept,-1250.585201,108.2070782,-13.17444182,9.07E-14,-1646.87618,-1204.259532
345.533333,165.616667,345.616667,345.575,6.031421563,11.2,4,-4,green,,504.77,,,,,,,,,,,,,,,-2019.08,345.575,,,,,,,,Ds,X1,-1509.334369,89.99104722,-15.37398489,1.78E-15,-1567.573358,-1199.468643
346.116667,166.2,346.2,346.1583335,6.041602653,11.783333,4,-4,green,*,492.19,,,,,,,,,,,,,,,-1968.76,346.1583335,,,,,,,,Dc,X2,-2999.231006,69.24599616,-45.16632494,1.98E-28,-3269.211127,-2985.963199
352.166667,172.266667,352.266667,352.216667,6.14734052,17.85,4,-4,yellow,*,587.56,,,,,,,,,,,,,,,-2350.24,352.216667,,,,,,,,,,,,,,,
363.0333333,183.133333,363.133333,363.0833332,6.336999623,28.716666,4,-4,yellow,,587.56,,,,,,,,,,,,,,,-2350.24,363.083333,,,,,,,,,X1,X2,Predicted Y,Y,Residual,,
302.916667,123,303,302.9583335,5.287620416,31.416667,-1,1,burple,***,447.15,,,,,,,,,,,,,,,447.15,302.9583335,,,,,,,,,0.760500418,-0.649337443,-446.8767048,-447.15,-0.273295241,,
302.366667,122.5,302.5,302.4333335,5.278457437,31.916667,-1,1,blue,,471.31,,,,,,,,,,,,,,,471.31,302.4333335,,,,,,,,,0.76510874,-0.643901091,-470.255078,-471.31,-1.054922028,,
301.95,122.0333333,302.0333333,301.9916667,5.270748897,32.3833337,-1,1,green,*,492.19,,,,,,,,,,,,,,,492.19,301.9916667,,,,,,,,,0.768655796,-0.63966262,-488.4186941,-492.19,-3.771305948,,
301.75,121.833333,301.833333,301.7916665,5.267258236,32.583334,-1,1,green,**,501.57,,,,,,,,,,,,,,,501.57,301.7916665,,,,,,,,,0.770883947,-0.63697562,-499.9052134,-501.57,-1.664786631,,
300.05,120.0833333,300.0833333,300.0666667,5.237151309,34.3333337,-1,1,yellow,***,587.56,,,,,,,,,,,,,,,587.56,300.0666667,,,,,,,,,0.786935022,-0.617035875,-584.4755027,-587.56,-3.08449729,,
298.5,118.483333,298.483333,298.4916665,5.20966237,35.933334,-1,1,red,**,667.82,,,,,,,,,,,,,,,667.82,298.4916665,,,,,,,,,0.801340829,-0.598208054,-663.2918898,-667.82,-4.528110208,,
