Spectrum Name:,,,,,,,,,Channel,Energy,Counts,Gross,LN(count),Absorption-Thickness
,,,,,,,,,173,,105,,,
,,,,,,,,,174,,95,,,
,,,,,,,,,175,,129,,,
,,,,,,,,,176,,130,,,
,,,,,,,,,177,,117,,,
,,,,,,,,,178,,98,,,
,,,,,,,,,179,,112,,,
,,,,,,,,,180,,107,,,
,,,,,,,,,181,,125,,,
,,,,,,,,,182,,86,,,
,,,,,,,,,183,,110,,,
,,,,,,,,,184,,115,,,
,,,,,,,,,185,,102,,,
,,,,,,,,,186,,94,,,
,,,,,,,,,187,,108,,,
,,,,,,,,,188,,138,,,
,,,,,,,,,189,,111,,,
,,,,,,,,,190,,117,,,
,,,,,,,,,191,,112,,,
,,,,,,,,,192,,100,,,
,,,,,,,,,193,,120,,,
,,,,,,,,,194,,87,,,
,,,,,,,,,195,,102,,,
,,,,,,,,,196,,106,,,
,,,,,,,,,197,,106,,,
,,,,,,,,,198,,112,,,
,,,,,,,,,199,,124,,,
,,,,,,,,,200,,119,,,
,,,,,,,,,201,,102,,,
,,,,,,,,,202,,116,,,
,,,,,,,,,203,,95,,,
,,,,,,,,,204,,111,,,
,,,,,,,,,205,,113,,,
,,,,,,,,,206,,104,,,
,,,,,,,,,207,,118,,,
,,,,,,,,,208,,110,,,
,,,,,,,,,209,,93,,,
,,,,,,,,,210,,94,,,
,,,,,,,,,211,,104,,,
,,,,,,,,,212,,114,,,
,,,,,,,,,213,,96,,,
,,,,,,,,,214,,110,,,
,,,,,,,,,215,,98,,,
,,,,,,,,,216,,106,,,
,,,,,,,,,217,,121,,,
,,,,,,,,,218,,90,,,
,,,,,,,,,219,,116,,,
,,,,,,,,,220,,101,,,
,,,,,,,,,221,,114,,,
,,,,,,,,,222,,108,,,
,,,,,,,,,223,,105,,,
,,,,,,,,,224,,118,,,
,,,,,,,,,225,,126,,,
,,,,,,,,,226,,107,,,
,,,,,,,,,227,,110,,,
,,,,,,,,,228,,102,,,
,,,,,,,,,229,,128,,,
,,,,,,,,,230,,116,,,
,,,,,,,,,231,,102,,,
,,,,,,,,,232,,108,,,
,,,,,,,,,233,,99,,,
,,,,,,,,,234,,99,,,
,,,,,,,,,235,,127,,,
,,,,,,,,,236,,102,,,
,,,,,,,,,237,,105,,,
,,,,,,,,,238,,97,,,
,,,,,,,,,239,,93,,,
,,,,,,,,,240,,98,,,
,,,,,,,,,241,,127,,,
,,,,,,,,,242,,101,,,
,,,,,,,,,243,,114,,,
,,,,,,,,,244,,121,,,
,,,,,,,,,245,,113,,,
,,,,,,,,,246,,113,,,
,,,,,,,,,247,,120,,,
,,,,,,,,,248,,115,,,
,,,,,,,,,249,,112,,,
,,,,,,,,,250,,128,,,
,,,,,,,,,251,,118,,,
,,,,,,,,,252,,115,,,
,,,,,,,,,253,,99,,,
,,,,,,,,,254,,118,,,
,,,,,,,,,255,,123,,,
,,,,,,,,,256,,125,,,
,,,,,,,,,257,,107,,,
,,,,,,,,,258,,106,,,
,,,,,,,,,259,,101,,,
,,,,,,,,,260,,113,,,
,,,,,,,,,261,,110,,,
,,,,,,,,,262,,89,,,
,,,,,,,,,263,,111,,,
,,,,,,,,,264,,99,,,
,,,,,,,,,265,,109,,,
,,,,,,,,,266,,113,,,
,,,,,,,,,267,,93,,,
,,,,,,,,,268,,108,,,
,,,,,,,,,269,,134,,,
,,,,,,,,,270,,107,,,
,,,,,,,,,271,,122,,,
,,,,,,,,,272,,110,,,
,,,,,,,,,273,,102,,,
,,,,,,,,,274,,113,,,
,,,,,,,,,275,,101,,,
,,,,,,,,,276,,111,,,
,,,,,,,,,277,,104,,,
,,,,,,,,,278,,103,,,
,,,,,,,,,279,,99,,,
,,,,,,,,,280,,105,,,
,,,,,,,,,281,,116,,,
,,,,,,,,,282,,110,,,
,,,,,,,,,283,,100,,,
,,,,,,,,,284,,108,,,
,,,,,,,,,285,,103,,,
,,,,,,,,,286,,110,,,
,,,,,,,,,287,,121,,,
,,,,,,,,,288,,115,,,
,,,,,,,,,289,,94,,,
,,,,,,,,,290,,116,,,
,,,,,,,,,291,,106,,,
,,,,,,,,,292,,105,,,
,,,,,,,,,293,,107,,,
,,,,,,,,,294,,124,,,
,,,,,,,,,295,,114,,,
,,,,,,,,,296,,112,,,
,,,,,,,,,297,,122,,,
,,,,,,,,,298,,112,,,
,,,,,,,,,299,,99,,,
,,,,,,,,,300,,128,,,
,,,,,,,,,301,,82,,,
,,,,,,,,,302,,119,,,
,,,,,,,,,303,,117,,,
,,,,,,,,,304,,94,,,
,,,,,,,,,305,,101,,,
,,,,,,,,,306,,115,,,
,,,,,,,,,307,,133,,,
,,,,,,,,,308,,132,,,
,,,,,,,,,309,,109,,,
,,,,,,,,,310,,102,,,
,,,,,,,,,311,,118,,,
,,,,,,,,,312,,113,,,
,,,,,,,,,313,,129,,,
