Spectrum Name:,,,,,,,,,Channel,Energy,Counts,Gross,LN(count),Absorption-Thickness
,,,,,,,,,797,,99,,,
,,,,,,,,,798,,102,,,
,,,,,,,,,799,,101,,,
,,,,,,,,,800,,114,,,
,,,,,,,,,801,,112,,,
,,,,,,,,,802,,114,,,
,,,,,,,,,803,,107,,,
,,,,,,,,,804,,111,,,
,,,,,,,,,805,,91,,,
,,,,,,,,,806,,122,,,
,,,,,,,,,807,,103,,,
,,,,,,,,,808,,96,,,
,,,,,,,,,809,,98,,,
,,,,,,,,,810,,101,,,
,,,,,,,,,811,,109,,,
,,,,,,,,,812,,113,,,
,,,,,,,,,813,,108,,,
,,,,,,,,,814,,116,,,
,,,,,,,,,815,,113,,,
,,,,,,,,,816,,87,,,
,,,,,,,,,817,,108,,,
,,,,,,,,,818,,114,,,
,,,,,,,,,819,,105,,,
,,,,,,,,,820,,105,,,
,,,,,,,,,821,,110,,,
,,,,,,,,,822,,117,,,
,,,,,,,,,823,,93,,,
,,,,,,,,,824,,91,,,
,,,,,,,,,825,,126,,,
,,,,,,,,,826,,80,,,
,,,,,,,,,827,,116,,,
,,,,,,,,,828,,119,,,
,,,,,,,,,829,,133,,,
,,,,,,,,,830,,144,,,
,,,,,,,,,831,,93,,,
,,,,,,,,,832,,108,,,
,,,,,,,,,833,,121,,,
,,,,,,,,,834,,103,,,
,,,,,,,,,835,,126,,,
,,,,,,,,,836,,104,,,
,,,,,,,,,837,,111,,,
,,,,,,,,,838,,121,,,
,,,,,,,,,839,,100,,,
,,,,,,,,,840,,118,,,
,,,,,,,,,841,,104,,,
,,,,,,,,,842,,115,,,
,,,,,,,,,843,,122,,,
,,,,,,,,,844,,100,,,
,,,,,,,,,845,,114,,,
,,,,,,,,,846,,102,,,
,,,,,,,,,847,,98,,,
,,,,,,,,,848,,119,,,
,,,,,,,,,849,,122,,,
,,,,,,,,,850,,94,,,
,,,,,,,,,851,,118,,,
,,,,,,,,,852,,142,,,
,,,,,,,,,853,,116,,,
,,,,,,,,,854,,122,,,
,,,,,,,,,855,,103,,,
,,,,,,,,,856,,108,,,
,,,,,,,,,857,,115,,,
,,,,,,,,,858,,114,,,
,,,,,,,,,859,,121,,,
,,,,,,,,,860,,116,,,
,,,,,,,,,861,,116,,,
,,,,,,,,,862,,95,,,
,,,,,,,,,863,,99,,,
,,,,,,,,,864,,97,,,
,,,,,,,,,865,,116,,,
,,,,,,,,,866,,126,,,
,,,,,,,,,867,,116,,,
,,,,,,,,,868,,116,,,
,,,,,,,,,869,,109,,,
,,,,,,,,,870,,111,,,
,,,,,,,,,871,,120,,,
,,,,,,,,,872,,100,,,
,,,,,,,,,873,,96,,,
,,,,,,,,,874,,114,,,
,,,,,,,,,875,,108,,,
,,,,,,,,,876,,120,,,
