latitude,longitude,altitude
29.08058,-81.00396,7.0
29.0806,-81.00377,7.0
29.08058,-81.00369,7.0
29.08038,-81.00375,7.0
29.08027,-81.00375,7.0
29.08014,-81.00371,7.0
29.08002,-81.00356,7.0
29.07972,-81.00343,7.02
29.07966,-81.00324,7.67
29.07969,-81.0031,7.35
29.07979,-81.00293,7.0
29.07982,-81.00278,7.0
29.07972,-81.00268,7.0
29.07964,-81.00269,7.0
29.0795,-81.00281,7.4
29.07927,-81.00292,7.53
29.07927,-81.00315,7.12
29.07936,-81.00348,7.04
29.0795,-81.00373,7.0
29.07935,-81.00415,7.0
29.07927,-81.00444,5.05
29.07912,-81.0045,4.4
29.07899,-81.00455,3.86
29.07877,-81.00455,4.72
29.07859,-81.00448,5.62
29.07847,-81.0044,6.75
29.07824,-81.00445,5.93
29.07803,-81.0044,4.2
29.07789,-81.00432,4.42
29.07777,-81.00419,4.75
29.07772,-81.00406,6.06
29.07774,-81.00379,7.62
29.07791,-81.00356,8.43
29.07796,-81.00341,9.17
29.078,-81.00324,10.4
29.07806,-81.00302,11.0
29.07809,-81.00292,11.0
29.07831,-81.00267,12.0
29.07839,-81.00252,12.0
29.0782,-81.00249,11.56
29.07806,-81.00242,11.0
29.07787,-81.00242,9.0
29.07763,-81.00207,8.0
29.07758,-81.00188,8.0
29.07743,-81.00186,8.0
29.07729,-81.00191,7.0
29.07715,-81.00192,7.0
29.07704,-81.00198,7.0
29.0769,-81.00201,7.0
29.07675,-81.00199,7.0
29.07655,-81.00188,7.0
29.0763,-81.00219,7.0
29.07615,-81.00224,6.81
29.07595,-81.00233,6.96
29.07585,-81.0023,7.13
29.07585,-81.00222,7.82
29.07569,-81.00215,8.0
29.07556,-81.00206,7.05
29.07553,-81.00224,7.0
29.07562,-81.0025,7.0
29.07583,-81.00292,7.55
29.07606,-81.00316,7.48
29.07621,-81.00329,6.44
29.07656,-81.00326,4.0
29.07669,-81.00327,4.25
29.07674,-81.00339,4.79
29.07658,-81.00356,2.62
29.0764,-81.00359,3.11
29.07589,-81.00346,6.77
29.07555,-81.00336,7.71
29.0751,-81.00322,8.0
29.07492,-81.00326,7.11
29.07475,-81.0032,7.0
29.07456,-81.00324,7.0
29.07447,-81.00324,7.0
29.07432,-81.00317,7.0
29.0742,-81.00313,7.0
29.07409,-81.00307,7.0
29.0739,-81.00296,7.0
29.07361,-81.00299,7.71
29.07348,-81.00296,8.0
29.07334,-81.00295,8.0
29.07308,-81.00333,6.01
29.07305,-81.00344,4.79
29.07297,-81.00329,5.08
29.0727,-81.00288,5.06
29.07262,-81.00285,4.3
29.07249,-81.00284,2.93
29.07242,-81.0028,2.79
29.0723,-81.00257,3.24
29.07213,-81.0025,4.0
29.07151,-81.0024,6.08
29.07125,-81.00237,6.4
29.07067,-81.00255,5.46
29.07031,-81.00242,6.86
29.07007,-81.00229,7.0
29.0694,-81.00249,3.54
29.06918,-81.00251,5.75
29.0689,-81.00255,6.46
29.06856,-81.00256,6.35
29.0682,-81.00257,7.0
29.06794,-81.00247,7.0
29.06778,-81.00211,7.0
29.06771,-81.00194,7.0
29.06769,-81.00175,7.0
29.06761,-81.00168,7.0
29.06742,-81.00157,7.0
29.06728,-81.00157,7.03
29.06712,-81.00146,7.23
