Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,AIRMASS,ALT_OBJ,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K,FWHM_Mean,Source_Radius,Sky_Rad(min),Sky_Rad(max),rel_flux_T1,rel_flux_C2,rel_flux_err_T1,rel_flux_err_C2,rel_flux_SNR_T1,rel_flux_SNR_C2,tot_C_cnts,tot_C_err,X(IJ)_T1,Y(IJ)_T1,X(FITS)_T1,Y(FITS)_T1,Source-Sky_T1,N_Src_Pixels_T1,Source_Error_T1,Source_SNR_T1,Peak_T1,Mean_T1,Sky/Pixel_T1,N_Sky_Pixels_T1,FWHM_T1,Width_T1,X-Width_T1,Y-Width_T1,Angle_T1,Roundness_T1,X(IJ)_C2,Y(IJ)_C2,X(FITS)_C2,Y(FITS)_C2,Source-Sky_C2,Source_Error_C2,Source_SNR_C2,Peak_C2,Mean_C2,Sky/Pixel_C2,FWHM_C2,Width_C2,X-Width_C2,Y-Width_C2,Angle_C2,Roundness_C2
HD113414BessellV3703_cal.fits,1712,0,60060.817198,2460060.817198,2460060.817111,2460060.822755,2460060.823605,1.839088,32.830827,NaN,15,13.060836,-16.336575,9.685534,12,24,35,2.965886,0,0.004516,0,656.740576,0,576771.343942,759.486390,1026.333414,1022.531009,1026.833414,1025.968991,1710638.075011,452.389342,1307.931825,1307.895444,11127.130859,3781.340354,-5280.349102,1636,9.784506,11.480938,10.963358,11.998517,79.282385,0.990656,1760.893921,1627.901137,1761.393921,420.598863,576771.343942,759.486390,759.422883,47.004669,1274.944589,-5354.490697,9.586563,11.718279,11.177321,12.259236,78.169872,0.989882
HD113414BessellV3704_cal.fits,1713,0,60060.817400,2460060.817400,2460060.817314,2460060.822957,2460060.823807,1.842206,32.767792,NaN,15,13.060836,-16.336575,9.288831,12,24,35,2.959573,0,0.004522,0,654.531698,0,573205.993059,757.135150,1028.251783,1022.877811,1028.751783,1025.622189,1696445.099181,452.389342,1302.494854,1302.458197,11844.123047,3749.966989,-5279.451226,1734,9.195708,11.348751,11.125817,11.571685,288.395897,0.997595,1762.657274,1628.150614,1763.157274,420.349386,573205.993059,757.135150,757.072226,475.104858,1267.063433,-5353.603953,9.381953,11.547153,11.203307,11.890999,284.708549,0.995334
HD113414BessellV3705_cal.fits,1714,0,60060.817603,2460060.817603,2460060.817516,2460060.823160,2460060.824009,1.845336,32.704757,NaN,15,13.060836,-16.336575,9.369337,12,24,35,2.952449,0,0.004532,0,651.478664,0,568217.490435,753.833627,1030.081885,1022.190472,1030.581885,1026.309528,1677633.133912,452.389342,1295.253219,1295.216340,10145.173828,3708.383416,-5278.744420,1733,9.584108,11.811248,12.177705,11.444791,347.827649,0.995370,1764.642158,1627.620698,1765.142158,420.879302,568217.490435,753.833627,753.770421,-499.082428,1256.036422,-5355.148811,9.154566,12.048718,12.412348,11.685089,347.231685,0.995533
HD113414BessellV3706_cal.fits,1715,0,60060.817805,2460060.817805,2460060.817718,2460060.823362,2460060.824212,1.848482,32.641659,NaN,15,13.060836,-16.336575,9.305363,12,24,35,2.950769,0,0.004564,0,646.579740,0,559785.533706,748.220315,1031.565080,1021.643817,1032.065080,1026.856183,1651797.864971,452.389342,1285.241540,1285.204230,9436.672852,3651.274933,-5278.065501,1656,9.684544,11.923972,11.924410,11.923534,315.037194,0.996799,1766.011411,1627.018082,1766.511411,421.481918,559785.533706,748.220315,748.156021,-838.080566,1237.397705,-5351.448083,8.926181,12.144726,12.164531,12.124921,317.042462,0.997904
HD113414BessellV3707_cal.fits,1716,0,60060.818006,2460060.818006,2460060.817919,2460060.823563,2460060.824413,1.851624,32.578901,NaN,15,13.060836,-16.336575,9.179577,12,24,35,2.967851,0,0.004545,0,653.041564,0,570197.585109,755.146094,1033.590028,1022.584187,1034.090028,1025.915813,1692261.247853,452.389342,1300.887751,1300.851089,11727.893555,3740.718647,-5274.670785,1667,9.065678,11.530601,11.085665,11.975536,284.119121,0.992349,1767.968532,1627.897816,1768.468532,420.602184,570197.585109,755.146094,755.082480,-163.671204,1260.413392,-5353.508985,9.293477,11.877715,11.503254,12.252177,283.834067,0.994942
HD113414BessellV3708_cal.fits,1717,0,60060.818208,2460060.818208,2460060.818121,2460060.823765,2460060.824615,1.854787,32.515999,NaN,15,13.060836,-16.336575,8.542190,12,24,35,2.954932,0,0.004822,0,612.756989,0,502576.687722,708.960034,1033.041882,1022.794810,1033.541882,1025.705190,1485080.033866,452.389342,1218.658086,1218.619112,4495.098145,3282.747615,-5265.459953,1734,11.600447,13.189487,13.220929,13.158046,321.740025,0.999582,1767.543579,1627.980535,1768.043579,420.519465,502576.687722,708.960034,708.892834,-2224.997070,1110.938391,-5347.858721,5.483933,13.350564,13.349484,13.351645,314.699153,0.999762
HD113414BessellV3709_cal.fits,1718,0,60060.818411,2460060.818411,2460060.818325,2460060.823968,2460060.824818,1.857988,32.452571,NaN,15,13.060836,-16.336575,8.798977,12,24,35,2.959470,0,0.004666,0,634.287062,0,538303.195267,733.724086,1034.206100,1023.747791,1034.706100,1024.752209,1593092.074435,452.389342,1262.196408,1262.158618,8891.412109,3521.506645,-5272.004554,1700,9.404579,12.154151,12.093225,12.215077,309.059663,0.997629,1768.684637,1629.026678,1769.184637,419.473322,538303.195267,733.724086,733.658886,-862.842529,1189.911311,-5350.838475,8.193376,12.421732,12.378727,12.464736,309.553519,0.998658
HD113414BessellV3710_cal.fits,1719,0,60060.818615,2460060.818615,2460060.818528,2460060.824172,2460060.825022,1.861204,32.389134,NaN,15,13.060836,-16.336575,9.570951,12,24,35,2.953621,0,0.004616,0,639.840281,0,548043.169778,740.331442,1031.641920,1023.902675,1032.141920,1024.597325,1618711.869549,452.389342,1272.304883,1272.267278,7161.991699,3578.138826,-5275.374553,1764,10.894867,12.387228,12.250968,12.523489,285.943969,0.999329,1766.175897,1629.269396,1766.675897,419.230604,548043.169778,740.331442,740.267317,-1504.364746,1211.441382,-5354.553140,8.247035,12.637212,12.570365,12.704059,279.510348,0.999875
HD113414BessellV3711_cal.fits,1720,0,60060.818817,2460060.818817,2460060.818730,2460060.824374,2460060.825224,1.864412,32.326105,NaN,15,13.060836,-16.336575,9.185156,12,24,35,2.932813,0,0.004478,0,654.904709,0,575181.872363,758.438973,1029.490723,1022.792197,1029.990723,1025.707803,1686901.103123,452.389342,1298.826032,1298.789108,11555.234375,3728.870126,-5276.367382,1706,9.112756,11.547309,11.377087,11.717531,295.077005,0.997884,1763.900233,1628.256268,1764.400233,420.243732,575181.872363,758.438973,758.375944,168.865433,1271.431086,-5351.257598,9.257556,11.759707,11.592661,11.926754,294.823695,0.998076
HD113414BessellV3712_cal.fits,1721,0,60060.819019,2460060.819019,2460060.818933,2460060.824576,2460060.825426,1.867635,32.263045,NaN,15,13.060836,-16.336575,9.086133,12,24,35,2.953495,0,0.004463,0,661.776092,0,586268.458444,765.712884,1020.796326,1021.881747,1021.296326,1026.618253,1731541.147815,452.389342,1315.898398,1315.862342,14717.092773,3827.546289,-5279.204735,1713,8.716122,10.771209,10.622909,10.919510,65.048061,0.998173,1755.235902,1627.239007,1755.735902,421.260993,586268.458444,765.712884,765.650508,699.512573,1295.937821,-5353.274936,9.456144,11.079392,10.998638,11.160145,53.213255,0.997343
